,name,artists,genre
467,"The Second Waltz, Op. 99a",André Rieu,"easy listening,operatic pop,pop violin"
468,Left to Die,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
469,Pull the Plug,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
470,Green Arrow,Yo La Tengo,"alternative rock,anti-folk,art pop,dream pop,indie pop,indie rock,lo-fi,new jersey indie,noise pop,permanent wave"
471,Starlight,Muse,"modern rock,permanent wave,rock"
472,Pride (In The Name Of Love) - Remastered 2009,U2,"irish rock,permanent wave,rock"
473,Roadhouse Blues,The Doors,"acid rock,classic rock,psychedelic rock,rock"
474,Thunderstruck,AC/DC,"australian rock,hard rock,rock"
475,Immigrant Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
476,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,uk contemporary jazz"
477,Mustafa Ya Mustafa,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
478,Khamoshiyan,Various Artists,
479,Samba Vexillographica,Devendra Banhart,freak folk
480,A Sight to Behold,Devendra Banhart,freak folk
481,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,"classical,compositional ambient,russian modern classical"
482,Moonlight Sonata (2nd Movement),Rousseau,
483,Moonlight Sonata (3rd Movement),Rousseau,
484,Moonlight Sonata (1st Movement),Rousseau,
485,Tere Bina,A.R. Rahman,"filmi,modern bollywood"
486,Uprising,Muse,"modern rock,permanent wave,rock"
487,Gnossienne No.1: Lent,Erik Satie,"classical,early avant garde,early modern classical,impressionism,post-romantic era"
488,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,"classical,classical era"
489,"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,"filmi,indian instrumental,modern bollywood"
490,Guaranteed - Humming Version,Eddie Vedder,"acoustic rock,permanent wave,rock"
491,Black Water,Timber Timbre,"new weird america,toronto indie"
492,Vital Transformation (with John McLaughlin) - Remastered,Mahavishnu Orchestra,"art rock,instrumental rock,jazz fusion,progressive rock,symphonic rock"
493,Sea Horse,Devendra Banhart,freak folk
494,Sthlm Sunset,Ehrling,tropical house
495,No Rain,Blind Melon,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock"
496,Paradise,Wild Nothing,"chillwave,dream pop,dreamo,indie rock,indie surf,modern dream pop,nu gaze,shoegaze"
497,It All Feels Right,Washed Out,"alternative dance,chillwave,dream pop,indie rock,indietronica,neo-synthpop,new rave"
498,Another One Bites The Dust - Remastered 2011,Queen,"classic rock,glam rock,rock"
499,In My Life - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
500,The Sound of Silence - Electric Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
501,Mere Rashke Qamar - Complete Original Version,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
502,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave"
503,Charkha (feat. Pt. Vishwa Mohan Bhatt),Indian Ocean,"filmi,indian folk,indian fusion,indian indie,indian rock,pakistani pop"
504,Paradisum - Original Mix,Ahmed Romel,"progressive trance,progressive uplifting trance,trance,uplifting trance"
505,I've got that tune,Chinese Man,"electro swing,electronica,hip-hop experimental,nu jazz,rap marseille"
506,Road Movie,Yom,french jazz
507,Les deux guitares,Opa Tsupa,gypsy jazz
508,Gates of Albion - Paul Rigel Remix,tranzLift,progressive uplifting trance
509,Lady With The Spinning Head - Extended Dance Mix,U2,"irish rock,permanent wave,rock"
510,Years,Alesso,"dance pop,edm,electro house,pop,pop dance,tropical house"
511,432hz Sunset Breeze,Abe Hathot,432hz
512,Dharawi Nights,Secretpath,
513,Clocks,Coldplay,"permanent wave,pop"
514,بنی آدم,Coldplay,"permanent wave,pop"
515,Èkó,Coldplay,"permanent wave,pop"
516,Everyday Life,Coldplay,"permanent wave,pop"
517,Einsamer Hirte,James Last,easy listening
518,Bohemian Rhapsody,Queen,"classic rock,glam rock,rock"
519,Soundtrack Of Minus,Vivash Soni,
520,Ahir Bhairav,Various Artists,
521,Ocean,John Butler,
522,Society,Eddie Vedder,"acoustic rock,permanent wave,rock"
523,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,"classical,german romanticism,late romantic era"
524,Hard Sun,Eddie Vedder,"acoustic rock,permanent wave,rock"
525,Magic,Coldplay,"permanent wave,pop"
526,"Toccata and Fugue in D Minor, BWV 565",Johann Sebastian Bach,"baroque,classical,early music,german baroque"
527,"The Barber of Seville, Act I: Overture",Gioachino Rossini,"classical,italian opera,italian romanticism"
528,Raining Blood,Slayer,"alternative metal,death metal,hard rock,metal,nu metal,old school thrash,rock,speed metal,thrash metal"
529,We Are Young (feat. Janelle Monáe),fun.,"baroque pop,metropopolis,modern rock,pop rock"
530,Goa Groove,Vintage Key,
531,"Swan Lake, Op. 20, Act II No. 10: Scène. Moderato",Pyotr Ilyich Tchaikovsky,"classical,late romantic era,russian romanticism"
532,Rise,Eddie Vedder,"acoustic rock,permanent wave,rock"
533,Horizonte - Andy Blueman Remix,SoundLift,"progressive uplifting trance,uplifting trance"
534,The Sound of Silence - Acoustic Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
535,Hallowed Be Thy Name - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
536,Do the Evolution,Pearl Jam,"alternative rock,grunge,permanent wave,rock"
537,The Feast and The Famine,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
538,Zuul,Genix,"progressive house,progressive trance,trance,uplifting trance"
539,The Next Chapter,Genix,"progressive house,progressive trance,trance,uplifting trance"
540,Perfect,Simple Plan,"canadian pop punk,canadian punk,canadian rock,pop punk"
541,Going to California - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
542,Face Of Melinda (Remastered),Opeth,"alternative metal,metal,progressive death metal,progressive metal,swedish metal,swedish progressive metal"
543,Empty Words,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
544,The Number of the Beast - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
545,Senorita,Shankar-Ehsaan-Loy,"desi pop,filmi,modern bollywood"
546,Saibo,Sachin-Jigar,"desi pop,filmi,gujarati pop,modern bollywood"
547,Dil Kyun Yeh Mera,Rajesh Roshan,"classic bollywood,filmi,modern bollywood"
548,Everyday,Agnelli & Nelson,"classic progressive house,hard house,trance"
549,The Ultra-Violence,Death Angel,"death metal,hard rock,metal,old school thrash,thrash metal"
550,Yellow Ledbetter,Pearl Jam,"alternative rock,grunge,permanent wave,rock"
551,All My Love - 1990 Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
552,Dust in the Wind,Kansas,"album rock,art rock,classic rock,hard rock,heartland rock,mellow gold,progressive rock,rock,soft rock,symphonic rock"
553,Knockin' On Heaven's Door,Guns N' Roses,"glam metal,hard rock,rock"
554,The Unforgiven,Metallica,"hard rock,metal,old school thrash,rock,thrash metal"
555,Demented Aggression,Cannibal Corpse,"alternative metal,brutal death metal,buffalo ny metal,death metal,metal"
556,Voice of the Soul,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
557,Crystal Mountain,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
558,Another Time - Album Edit,Kyau & Albert,"edm,german techno,progressive house,progressive trance,trance,uplifting trance"
559,Tune Jo Na Kaha,Pritam,"filmi,indian instrumental,modern bollywood"
560,The Theme - Radion6 Remix,Jurgen Vries,hard trance
561,Keith,Various Artists,
562,Shona,Jake Chudnow,
563,The Rain Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
564,Zinda,Amit Trivedi,"desi pop,filmi,modern bollywood"
565,"Fantasie-impromptu in C-Sharp Minor, Op. 66 No. 4",Frédéric Chopin,"classical,early romantic era,polish classical"
566,"Boléro, M. 81",London Symphony Orchestra,"british orchestra,classical performance,orchestra"
567,"The Second Waltz, Op. 99a",André Rieu,"easy listening,operatic pop,pop violin"
568,Left to Die,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
569,Pull the Plug,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
570,Green Arrow,Yo La Tengo,"alternative rock,anti-folk,art pop,dream pop,indie pop,indie rock,lo-fi,new jersey indie,noise pop,permanent wave"
571,Starlight,Muse,"modern rock,permanent wave,rock"
572,Pride (In The Name Of Love) - Remastered 2009,U2,"irish rock,permanent wave,rock"
573,Roadhouse Blues,The Doors,"acid rock,classic rock,psychedelic rock,rock"
574,Thunderstruck,AC/DC,"australian rock,hard rock,rock"
575,Immigrant Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
576,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,uk contemporary jazz"
577,Mustafa Ya Mustafa,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
578,Khamoshiyan,Various Artists,
579,Samba Vexillographica,Devendra Banhart,freak folk
580,A Sight to Behold,Devendra Banhart,freak folk
581,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,"classical,compositional ambient,russian modern classical"
582,Moonlight Sonata (2nd Movement),Rousseau,
583,Moonlight Sonata (3rd Movement),Rousseau,
584,Moonlight Sonata (1st Movement),Rousseau,
585,Tere Bina,A.R. Rahman,"filmi,modern bollywood"
586,Uprising,Muse,"modern rock,permanent wave,rock"
587,Gnossienne No.1: Lent,Erik Satie,"classical,early avant garde,early modern classical,impressionism,post-romantic era"
588,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,"classical,classical era"
589,"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,"filmi,indian instrumental,modern bollywood"
590,Guaranteed - Humming Version,Eddie Vedder,"acoustic rock,permanent wave,rock"
591,Black Water,Timber Timbre,"new weird america,toronto indie"
592,Vital Transformation (with John McLaughlin) - Remastered,Mahavishnu Orchestra,"art rock,instrumental rock,jazz fusion,progressive rock,symphonic rock"
593,Sea Horse,Devendra Banhart,freak folk
594,Sthlm Sunset,Ehrling,tropical house
595,No Rain,Blind Melon,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock"
596,Paradise,Wild Nothing,"chillwave,dream pop,dreamo,indie rock,indie surf,modern dream pop,nu gaze,shoegaze"
597,It All Feels Right,Washed Out,"alternative dance,chillwave,dream pop,indie rock,indietronica,neo-synthpop,new rave"
598,Another One Bites The Dust - Remastered 2011,Queen,"classic rock,glam rock,rock"
599,In My Life - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
600,The Sound of Silence - Electric Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
601,Mere Rashke Qamar - Complete Original Version,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
602,The Adventures of Rain Dance Maggie,Red Hot Chili Peppers,"alternative rock,funk metal,funk rock,permanent wave"
603,Charkha (feat. Pt. Vishwa Mohan Bhatt),Indian Ocean,"filmi,indian folk,indian fusion,indian indie,indian rock,pakistani pop"
604,Paradisum - Original Mix,Ahmed Romel,"progressive trance,progressive uplifting trance,trance,uplifting trance"
605,I've got that tune,Chinese Man,"electro swing,electronica,hip-hop experimental,nu jazz,rap marseille"
606,Road Movie,Yom,french jazz
607,Les deux guitares,Opa Tsupa,gypsy jazz
608,Gates of Albion - Paul Rigel Remix,tranzLift,progressive uplifting trance
609,Lady With The Spinning Head - Extended Dance Mix,U2,"irish rock,permanent wave,rock"
610,Years,Alesso,"dance pop,edm,electro house,pop,pop dance,tropical house"
611,432hz Sunset Breeze,Abe Hathot,432hz
612,Dharawi Nights,Secretpath,
613,Clocks,Coldplay,"permanent wave,pop"
614,بنی آدم,Coldplay,"permanent wave,pop"
615,Èkó,Coldplay,"permanent wave,pop"
616,Everyday Life,Coldplay,"permanent wave,pop"
617,Einsamer Hirte,James Last,easy listening
618,Bohemian Rhapsody,Queen,"classic rock,glam rock,rock"
619,Soundtrack Of Minus,Vivash Soni,
620,Ahir Bhairav,Various Artists,
621,Ocean,John Butler,
622,Society,Eddie Vedder,"acoustic rock,permanent wave,rock"
623,"21 Hungarian Dances, WoO 1: No. 5 in G Minor: Allegro",Johannes Brahms,"classical,german romanticism,late romantic era"
624,Hard Sun,Eddie Vedder,"acoustic rock,permanent wave,rock"
625,Magic,Coldplay,"permanent wave,pop"
626,"Toccata and Fugue in D Minor, BWV 565",Johann Sebastian Bach,"baroque,classical,early music,german baroque"
627,"The Barber of Seville, Act I: Overture",Gioachino Rossini,"classical,italian opera,italian romanticism"
628,Raining Blood,Slayer,"alternative metal,death metal,hard rock,metal,nu metal,old school thrash,rock,speed metal,thrash metal"
629,We Are Young (feat. Janelle Monáe),fun.,"baroque pop,metropopolis,modern rock,pop rock"
630,Goa Groove,Vintage Key,
631,"Swan Lake, Op. 20, Act II No. 10: Scène. Moderato",Pyotr Ilyich Tchaikovsky,"classical,late romantic era,russian romanticism"
632,Rise,Eddie Vedder,"acoustic rock,permanent wave,rock"
633,Horizonte - Andy Blueman Remix,SoundLift,"progressive uplifting trance,uplifting trance"
634,The Sound of Silence - Acoustic Version,Simon & Garfunkel,"classic rock,folk,folk rock,melancholia,mellow gold,rock"
635,Hallowed Be Thy Name - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
636,Do the Evolution,Pearl Jam,"alternative rock,grunge,permanent wave,rock"
637,The Feast and The Famine,Foo Fighters,"alternative metal,alternative rock,modern rock,permanent wave,post-grunge,rock"
638,Zuul,Genix,"progressive house,progressive trance,trance,uplifting trance"
639,The Next Chapter,Genix,"progressive house,progressive trance,trance,uplifting trance"
640,Perfect,Simple Plan,"canadian pop punk,canadian punk,canadian rock,pop punk"
641,Going to California - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
642,Face Of Melinda (Remastered),Opeth,"alternative metal,metal,progressive death metal,progressive metal,swedish metal,swedish progressive metal"
643,Empty Words,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
644,The Number of the Beast - 2015 Remaster,Iron Maiden,"hard rock,metal,nwobhm,rock"
645,Senorita,Shankar-Ehsaan-Loy,"desi pop,filmi,modern bollywood"
646,Saibo,Sachin-Jigar,"desi pop,filmi,gujarati pop,modern bollywood"
647,Dil Kyun Yeh Mera,Rajesh Roshan,"classic bollywood,filmi,modern bollywood"
648,Everyday,Agnelli & Nelson,"classic progressive house,hard house,trance"
649,The Ultra-Violence,Death Angel,"death metal,hard rock,metal,old school thrash,thrash metal"
650,Yellow Ledbetter,Pearl Jam,"alternative rock,grunge,permanent wave,rock"
651,All My Love - 1990 Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
652,Dust in the Wind,Kansas,"album rock,art rock,classic rock,hard rock,heartland rock,mellow gold,progressive rock,rock,soft rock,symphonic rock"
653,Knockin' On Heaven's Door,Guns N' Roses,"glam metal,hard rock,rock"
654,The Unforgiven,Metallica,"hard rock,metal,old school thrash,rock,thrash metal"
655,Demented Aggression,Cannibal Corpse,"alternative metal,brutal death metal,buffalo ny metal,death metal,metal"
656,Voice of the Soul,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
657,Crystal Mountain,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
658,Another Time - Album Edit,Kyau & Albert,"edm,german techno,progressive house,progressive trance,trance,uplifting trance"
659,Tune Jo Na Kaha,Pritam,"filmi,indian instrumental,modern bollywood"
660,The Theme - Radion6 Remix,Jurgen Vries,hard trance
661,Keith,Various Artists,
662,Shona,Jake Chudnow,
663,The Rain Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
664,Zinda,Amit Trivedi,"desi pop,filmi,modern bollywood"
665,"Fantasie-impromptu in C-Sharp Minor, Op. 66 No. 4",Frédéric Chopin,"classical,early romantic era,polish classical"
666,"Boléro, M. 81",London Symphony Orchestra,"british orchestra,classical performance,orchestra"
667,"The Second Waltz, Op. 99a",André Rieu,"easy listening,operatic pop,pop violin"
668,Left to Die,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
669,Pull the Plug,Death,"alternative metal,death metal,dissonant death metal,florida death metal,metal,rock,technical death metal"
670,Green Arrow,Yo La Tengo,"alternative rock,anti-folk,art pop,dream pop,indie pop,indie rock,lo-fi,new jersey indie,noise pop,permanent wave"
671,Starlight,Muse,"modern rock,permanent wave,rock"
672,Pride (In The Name Of Love) - Remastered 2009,U2,"irish rock,permanent wave,rock"
673,Roadhouse Blues,The Doors,"acid rock,classic rock,psychedelic rock,rock"
674,Thunderstruck,AC/DC,"australian rock,hard rock,rock"
675,Immigrant Song - Remaster,Led Zeppelin,"album rock,classic rock,hard rock,rock"
676,"All Blues (feat. John Coltrane, Cannonball Adderley & Bill Evans)",Miles Davis,"cool jazz,hard bop,jazz,jazz fusion,jazz trumpet,uk contemporary jazz"
677,Mustafa Ya Mustafa,Nusrat Fateh Ali Khan,"indian fusion,pakistani folk,qawwali,sufi,world"
678,Khamoshiyan,Various Artists,
679,Samba Vexillographica,Devendra Banhart,freak folk
680,A Sight to Behold,Devendra Banhart,freak folk
681,Jazz Suite No. 2: VI. Waltz 2,Dmitri Shostakovich,"classical,compositional ambient,russian modern classical"
682,Moonlight Sonata (2nd Movement),Rousseau,
683,Moonlight Sonata (3rd Movement),Rousseau,
684,Moonlight Sonata (1st Movement),Rousseau,
685,Tere Bina,A.R. Rahman,"filmi,modern bollywood"
686,Uprising,Muse,"modern rock,permanent wave,rock"
687,Gnossienne No.1: Lent,Erik Satie,"classical,early avant garde,early modern classical,impressionism,post-romantic era"
688,"Le nozze di Figaro, K. 492 / Act 3: ""Sull’aria ... Che soave zeffiretto""",Wolfgang Amadeus Mozart,"classical,classical era"
689,"Hawayein (From ""Jab Harry Met Sejal"")",Pritam,"filmi,indian instrumental,modern bollywood"
690,Guaranteed - Humming Version,Eddie Vedder,"acoustic rock,permanent wave,rock"
691,Black Water,Timber Timbre,"new weird america,toronto indie"
692,Vital Transformation (with John McLaughlin) - Remastered,Mahavishnu Orchestra,"art rock,instrumental rock,jazz fusion,progressive rock,symphonic rock"
693,Sea Horse,Devendra Banhart,freak folk
694,Sthlm Sunset,Ehrling,tropical house
695,No Rain,Blind Melon,"alternative metal,alternative rock,blues rock,grunge,pop rock,rock"
696,Paradise,Wild Nothing,"chillwave,dream pop,dreamo,indie rock,indie surf,modern dream pop,nu gaze,shoegaze"
697,It All Feels Right,Washed Out,"alternative dance,chillwave,dream pop,indie rock,indietronica,neo-synthpop,new rave"
698,Another One Bites The Dust - Remastered 2011,Queen,"classic rock,glam rock,rock"
699,In My Life - Remastered 2009,The Beatles,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock"
